date,tahitiSites,tahitiRep,tahiti,ile_sousSites,ile_sousRep,ile_sous,mooreaSites,mooreaRep,moorea,tuamotuSites,tuamotuRep,tuamotu,marquisesSites,marquisesRep,marquises,australesSites,australesRep,australes
11/10/13,12,0.121212121,49,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/13,19,0.191919192,189,3,0.12,0,2,0.166666667,0,3,0.230769231,2,0,0,0,0,0,0
25/10/13,25,0.252525253,326,5,0.2,14,2,0.166666667,4,5,0.384615385,15,2,0.25,10,0,0,0
01/11/13,27,0.272727273,265,10,0.4,21,6,0.5,13,6,0.461538462,22,4,0.5,10,1,0.2,0
08/11/13,26,0.262626263,258,8,0.32,37,5,0.416666667,12,3,0.230769231,16,2,0.25,10,2,0.4,0
15/11/13,25,0.252525253,461,7,0.28,48,4,0.333333333,23,5,0.384615385,29,3,0.375,10,2,0.4,0
22/11/13,25,0.252525253,613,8,0.32,67,3,0.25,22,5,0.384615385,31,2,0.25,9,0,0,0
29/11/13,26,0.262626263,748,9,0.36,97,5,0.416666667,45,6,0.461538462,40,4,0.5,24,1,0.2,1
06/12/13,24,0.242424242,722,8,0.32,129,5,0.416666667,54,5,0.384615385,58,3,0.375,26,2,0.4,40
13/12/13,23,0.232323232,549,7,0.28,117,5,0.416666667,89,6,0.461538462,65,4,0.5,38,2,0.4,25
20/12/13,22,0.222222222,318,7,0.28,148,5,0.416666667,46,9,0.692307692,70,3,0.375,63,3,0.6,37
27/12/13,20,0.202020202,134,9,0.36,143,5,0.416666667,48,10,0.769230769,67,4,0.5,48,3,0.6,72
03/01/14,22,0.222222222,105,11,0.44,145,5,0.416666667,37,10,0.769230769,36,4,0.5,22,3,0.6,67
10/01/14,20,0.202020202,101,11,0.44,114,4,0.333333333,38,11,0.846153846,35,4,0.5,35,3,0.6,58
17/01/14,22,0.222222222,88,9,0.36,85,3,0.25,18,12,0.923076923,49,4,0.5,43,3,0.6,60
24/01/14,18,0.181818182,56,9,0.36,44,3,0.25,2,8,0.615384615,28,7,0.875,37,4,0.8,89
31/01/14,20,0.202020202,47,7,0.28,41,3,0.25,6,6,0.461538462,28,7,0.875,35,3,0.6,92
07/02/14,18,0.181818182,19,6,0.24,17,2,0.166666667,0,6,0.461538462,21,7,0.875,14,5,1,71
14/02/14,18,0.181818182,12,6,0.24,16,2,0.166666667,0,4,0.307692308,3,8,1,11,4,0.8,42
21/02/14,21,0.212121212,15,9,0.36,7,4,0.333333333,4,4,0.307692308,3,6,0.75,10,5,1,41
28/02/14,24,0.242424242,10,9,0.36,3,3,0.25,0,4,0.307692308,3,5,0.625,8,3,0.6,29
07/03/14,22,0.222222222,7,5,0.2,0,4,0.333333333,1,0,0,0,4,0.5,2,5,1,21
14/03/14,17,0.171717172,2,5,0.2,3,3,0.25,0,2,0.153846154,0,5,0.625,4,4,0.8,14
21/03/14,16,0.161616162,0,6,0.24,1,3,0.25,0,2,0.153846154,0,3,0.375,11,3,0.6,9
28/03/14,15,0.151515152,0,5,0.2,0,2,0.166666667,0,0,0,0,2,0.25,0,2,0.4,7
