"Year","Proportion_of_trees","Plot","State"
7,0.188679245283019,"A20","S+IA"
7,0.773584905660377,"A20","IS"
7,0.0377358490566038,"A20","ID"
8,0.0380952380952381,"A20","S+IA"
8,0.828571428571429,"A20","IS"
8,0.133333333333333,"A20","ID"
9,0.0388349514563107,"A20","S+IA"
9,0.737864077669903,"A20","IS"
9,0.223300970873786,"A20","ID"
9,0,"A4","S+IA"
9,0.925233644859813,"A4","IS"
9,0.0747663551401869,"A4","ID"
10,0.0099009900990099,"A4","S+IA"
10,0.376237623762376,"A4","IS"
10,0.613861386138614,"A4","ID"
8,0,"A5","S+IA"
8,0.932038834951456,"A5","IS"
8,0.0679611650485437,"A5","ID"
9,0,"A5","S+IA"
9,0.727272727272727,"A5","IS"
9,0.272727272727273,"A5","ID"
8,0.0909090909090909,"A9","S+IA"
8,0.890909090909091,"A9","IS"
8,0.0181818181818182,"A9","ID"
9,0.0275229357798165,"A9","S+IA"
9,0.688073394495413,"A9","IS"
9,0.284403669724771,"A9","ID"
9,0.0857142857142857,"B1","S+IA"
9,0.904761904761905,"B1","IS"
9,0.00952380952380952,"B1","ID"
10,0.100917431192661,"B1","S+IA"
10,0.284403669724771,"B1","IS"
10,0.614678899082569,"B1","ID"
8,0.0792079207920792,"B11","S+IA"
8,0.920792079207921,"B11","IS"
8,0,"B11","ID"
9,0.00961538461538462,"B11","S+IA"
9,0.673076923076923,"B11","IS"
9,0.317307692307692,"B11","ID"
5,0.650943396226415,"B20","S+IA"
5,0.339622641509434,"B20","IS"
5,0.00943396226415094,"B20","ID"
6,0.102803738317757,"B20","S+IA"
6,0.878504672897196,"B20","IS"
6,0.0186915887850467,"B20","ID"
6,0.571428571428571,"B200","S+IA"
6,0.419047619047619,"B200","IS"
6,0.00952380952380952,"B200","ID"
7,0.0283018867924528,"B200","S+IA"
7,0.849056603773585,"B200","IS"
7,0.122641509433962,"B200","ID"
8,0.269230769230769,"B21","S+IA"
8,0.692307692307692,"B21","IS"
8,0.0384615384615385,"B21","ID"
9,0,"B21","S+IA"
9,0.702970297029703,"B21","IS"
9,0.297029702970297,"B21","ID"
10,0.0099009900990099,"B21","S+IA"
10,0.425742574257426,"B21","IS"
10,0.564356435643564,"B21","ID"
5,0.584158415841584,"B22","S+IA"
5,0.415841584158416,"B22","IS"
5,0,"B22","ID"
6,0.0792079207920792,"B22","S+IA"
6,0.910891089108911,"B22","IS"
6,0.0099009900990099,"B22","ID"
5,0.544554455445545,"B3","S+IA"
5,0.455445544554455,"B3","IS"
5,0,"B3","ID"
6,0.0970873786407767,"B3","S+IA"
6,0.902912621359223,"B3","IS"
6,0,"B3","ID"
7,0.0666666666666667,"B3","S+IA"
7,0.933333333333333,"B3","IS"
7,0,"B3","ID"
6,0.377551020408163,"B51","S+IA"
6,0.602040816326531,"B51","IS"
6,0.0204081632653061,"B51","ID"
7,0.0303030303030303,"B51","S+IA"
7,0.939393939393939,"B51","IS"
7,0.0303030303030303,"B51","ID"
8,0.12962962962963,"B8","S+IA"
8,0.833333333333333,"B8","IS"
8,0.037037037037037,"B8","ID"
9,0.0454545454545455,"B8","S+IA"
9,0.536363636363636,"B8","IS"
9,0.418181818181818,"B8","ID"
10,0.0277777777777778,"B8","S+IA"
10,0.638888888888889,"B8","IS"
10,0.333333333333333,"B8","ID"
6,0.429906542056075,"C2","S+IA"
6,0.532710280373832,"C2","IS"
6,0.0186915887850467,"C2","ID"
6,0.0186915887850467,"C2","S+IA"
7,0.160714285714286,"C2","S+IA"
7,0.785714285714286,"C2","IS"
7,0.0535714285714286,"C2","ID"
8,0.0560747663551402,"C2","S+IA"
8,0.785046728971963,"C2","IS"
8,0.158878504672897,"C2","ID"
5,0.529411764705882,"C20","S+IA"
5,0.450980392156863,"C20","IS"
5,0.0196078431372549,"C20","ID"
6,0.254901960784314,"C20","S+IA"
6,0.745098039215686,"C20","IS"
6,0,"C20","ID"
7,0.158415841584158,"C20","S+IA"
7,0.821782178217822,"C20","IS"
7,0.0198019801980198,"C20","ID"
5,0.678899082568807,"C22","S+IA"
5,0.293577981651376,"C22","IS"
5,0.0275229357798165,"C22","ID"
6,0.311926605504587,"C22","S+IA"
6,0.63302752293578,"C22","IS"
6,0.055045871559633,"C22","ID"
4,0.961165048543689,"MC","S+IA"
4,0.0388349514563107,"MC","IS"
4,0,"MC","ID"
5,0.528846153846154,"MC","S+IA"
5,0.461538461538462,"MC","IS"
5,0.00961538461538462,"MC","ID"
